title,NER,ingredients
Do Not Peek,"[""onion soup"", ""mushroom soup"", ""cream of celery soup"", ""milk"", ""rice"", ""butter"", ""chicken""]","[""1 c. raw rice"", ""4 Tbsp. melted butter"", ""1/2 (soup) can milk"", ""1 large chicken"", ""1 can mushroom soup"", ""1 can cream of celery soup"", ""1 pkg. dry onion soup""]"
Grated Potato Crust With Ham Filling,"[""potatoes"", ""egg"", ""nutmeg"", ""eggs"", ""onion"", ""flour"", ""paprika"", ""broccoli"", ""grated cheese"", ""light cream"", ""salt""]","[""4 c. grated potatoes"", ""1/2 c. grated onion"", ""1 beaten egg"", ""1/4 c. flour"", ""1 c. chopped"", ""cooked ham"", ""1 (10 oz.) frozen"", ""thawed"", ""drained"", ""chopped broccoli"", ""3 eggs"", ""1 c. light cream"", ""pinch of nutmeg"", ""salt and pepper to taste"", ""1/2 c. grated cheese"", ""dash of paprika""]"
Sunshine Chicken,"[""pepper"", ""curry powder"", ""brown sugar"", ""water"", ""orange juice"", ""parsley"", ""rice"", ""dry mustard"", ""chicken"", ""salt""]","[""2 to 3 tsp. curry powder"", ""1 1/4 tsp. salt (optional)"", ""1/4 tsp. pepper"", ""6 chicken breast halves"", ""boned and skinned"", ""1 1/2 c. orange juice"", ""1 c. rice"", ""3/4 c. water"", ""1 Tbsp. brown sugar"", ""1 tsp. dry mustard"", ""chopped parsley""]"
Pork Chops And Rice For Two,"[""rice"", ""center"", ""onion"", ""tomatoes""]","[""2 center cut pork chops"", ""at least 1/2-inch thick"", ""1 medium onion"", ""sliced 1/4-inch thick"", ""1 (16 oz.) can tomatoes"", ""1/4 c. rice""]"
Chicken And Veg Medley,"[""chicken bouillon"", ""onion powder"", ""water"", ""thin strips summer squash"", ""thyme"", ""thin strips zucchini"", ""thin strips carrots"", ""vegetable oil"", ""thin strips red bell pepper""]","[""4 skinned"", ""boneless chicken breast halves"", ""1 Tbsp. vegetable oil"", ""1/2 c. water"", ""2 tsp. chicken bouillon or two cubes"", ""1/2 tsp. thyme leaves"", ""1/4 tsp. onion powder"", ""1 c. thin strips carrots"", ""1 c. thin strips red bell pepper"", ""1 c. thin strips summer squash"", ""1 c. thin strips zucchini""]"
Easy Casserole,"[""cream of mushroom soup"", ""cheddar cheese"", ""onion"", ""ham"", ""milk"", ""elbow macaroni""]","[""1 can cream of mushroom soup"", ""1 c. elbow macaroni (uncooked)"", ""1 c. milk"", ""1 c. grated Cheddar cheese"", ""1 Tbsp. onion"", ""1 c. diced ham""]"
Goup,"[""potatoes"", ""tomato soup"", ""lean ground beef"", ""water"", ""onions"", ""parsley"", ""rice"", ""salt""]","[""Minute rice"", ""sliced raw potatoes"", ""lean ground beef"", ""salt and pepper"", ""onions"", ""1 can tomato soup"", ""1/2 can water"", ""parsley""]"
Beef Jerky,"[""black pepper"", ""steak sauce"", ""soy sauce"", ""tabasco sauce"", ""brown sugar"", ""sliced meat"", ""barbecue sauce"", ""smoke flavor"", ""salt""]","[""4 Tbsp. barbecue sauce"", ""4 Tbsp. A.1. steak sauce"", ""1 Tbsp. smoke flavor"", ""1 Tbsp. salt"", ""1 1/2 Tbsp. brown sugar"", ""3/4 Tbsp. black pepper"", ""1 Tbsp. soy sauce"", ""1 Tbsp. m.s.g."", ""1 Tbsp. Tabasco sauce"", ""3 lb. sliced meat""]"
Marvelous Macaroons,"[""sugar"", ""flake coconut"", ""natural almonds"", ""egg whites"", ""almond extract"", ""salt""]","[""2 2/3 c. flake coconut"", ""2/3 c. sugar"", ""1/4 tsp. salt"", ""4 egg whites"", ""1 tsp. almond extract"", ""1 c. chopped natural almonds""]"
Baked Zucchini With Tomatoes,"[""zucchini"", ""tomatoes"", ""parmesan cheese"", ""onion"", ""freshly ground black pepper"", ""olive oil"", ""marjoram"", ""garlic"", ""green pepper""]","[""3 medium zucchini (about 3/4 lb.)"", ""3 ripe plum tomatoes (about 1/2 lb.)"", ""1 medium green pepper"", ""cored"", ""seeded and chopped"", ""1/2 c. finely chopped onion"", ""2 tsp. finely chopped garlic"", ""2 tsp. finely chopped marjoram or 1 tsp. dried"", ""freshly ground black pepper"", ""2 Tbsp. olive oil"", ""2 Tbsp. freshly grated Parmesan cheese""]"
Marinated Rotini Vegetable Salad,"[""oil"", ""corn"", ""salt"", ""pepper"", ""cherry tomatoes"", ""rotini"", ""dry mustard"", ""garlic powder"", ""olives"", ""tarragon vinegar"", ""zucchini"", ""dill weed""]","[""4 ears corn"", ""1 1/2 c. rotini"", ""cooked"", ""2 c. cherry tomatoes"", ""1 c. sliced zucchini (1 medium)"", ""1 c. pitted ripe olives"", ""1/3 c. tarragon vinegar"", ""1/4 c. oil"", ""1 to 2 tsp. dill weed"", ""1 1/2 tsp. salt"", ""1/2 tsp. dry mustard"", ""1/4 tsp. pepper"", ""1/4 tsp. garlic powder""]"
Herb Scalloped Tomatoes,"[""sugar"", ""tomatoes"", ""black pepper"", ""nutmeg"", ""onion"", ""herb stuffing mix"", ""leaf oregano"", ""leaf rosemary"", ""butter"", ""salt""]","[""4 c. canned tomatoes"", ""cut up"", ""2 1/2 c. herb stuffing mix"", ""divided"", ""1 small onion"", ""chopped"", ""2 Tbsp. sugar"", ""1/2 tsp. salt"", ""1/2 tsp. nutmeg"", ""1/2 tsp. leaf oregano"", ""crumbled"", ""1/4 tsp. leaf rosemary"", ""crumbled"", ""1/4 tsp. black pepper"", ""1/4 c. butter""]"
Chicken Piccata,"[""dill sprigs"", ""butter"", ""chicken cutlets"", ""lemon juice""]","[""8 oz. chicken cutlets"", ""3/4 tsp. butter"", ""1/8 c. dry white vermouth"", ""1/8 c. lemon juice"", ""dill sprigs""]"
Fish And Loaves,"[""loaves"", ""fish""]","[""2 fish"", ""5 loaves""]"
Spaghetti Parmesan,"[""spaghetti"", ""parmesan cheese"", ""water"", ""butter"", ""tomato sauce""]","[""2 lb. spaghetti"", ""5 oz. butter"", ""4 qt. water"", ""5 oz. Parmesan cheese"", ""2 c. tomato sauce""]"
Saucy Meatball Sandwich,"[""rolls"", ""egg"", ""pizza sauce"", ""mozzarella cheese"", ""onion"", ""cornstarch"", ""margarine"", ""garlic"", ""italian sausage"", ""green pepper""]","[""4 (6-inch) long French style rolls"", ""1 beaten egg"", ""1 lb. bulk Italian sausage"", ""1 small green pepper"", ""finely chopped"", ""1 small onion"", ""finely chopped"", ""2 cloves garlic"", ""minced"", ""2 Tbsp. margarine"", ""1 (8 oz.) can pizza sauce"", ""1/2 tsp. cornstarch"", ""1/4 c. shredded Mozzarella cheese""]"
Happy Hour,"[""oil"", ""oyster crackers"", ""valley"", ""garlic powder"", ""dill weed""]","[""1 box oyster crackers"", ""1/2 pkg. Original Hidden Valley"", ""1/2 tsp. garlic powder"", ""1/2 tsp. dill weed"", ""3/4 c. oil""]"
Broccoli Rice Bake,"[""condensed cream"", ""onion"", ""water"", ""celery"", ""margarine"", ""broccoli"", ""rice""]","[""1/2 c. chopped celery"", ""1/2 c. margarine (1 stick)"", ""1/2 c. water"", ""1 (10 oz.) pkg. frozen chopped broccoli"", ""1/2 c. chopped onion"", ""1 can condensed cream of chicken soup"", ""1 (8 oz.) jar pasteurized processed cheese spread"", ""1 (7 oz.) pkg. precooked rice""]"
White Potatoes And Onions,"[""flour"", ""cooking oil"", ""white potatoes"", ""onions""]","[""3 lb. white potatoes"", ""2 medium onions"", ""sliced thin"", ""4 c. cooking oil"", ""1/2 c. flour""]"
Hamburger Vegetable Soup,"[""potatoes"", ""cabbage"", ""bay leaf"", ""tomatoes"", ""onion"", ""water"", ""celery"", ""basil"", ""thyme"", ""carrots"", ""rice"", ""hamburg"", ""salt""]","[""1 lb. hamburg"", ""1 c. chopped onion"", ""1 c. cooked potatoes"", ""1 c. sliced celery"", ""1/4 c. rice"", ""2 tsp. salt"", ""1 bay leaf"", ""1/4 tsp. thyme"", ""1 c. carrots"", ""diced"", ""1 c. shredded cabbage"", ""2 c. tomatoes"", ""3 c. water"", ""1/4 tsp. basil""]"
Pork Vegetable Roast(Microwave)  ,"[""potatoes"", ""oregano"", ""tomatoes"", ""pepper"", ""pork roast"", ""onion"", ""garlic""]","[""1 (2 1/2 to 3 lb.) pork roast"", ""garlic salt"", ""pepper"", ""3 medium potatoes"", ""peeled and cut in eighths"", ""1 medium onion"", ""sliced"", ""1/2 tsp. oregano"", ""1 (14 1/2 oz.) can tomatoes with liquid""]"
Rice Napoli,"[""pack skim"", ""italian style dressing"", ""italian style tomatoes"", ""margarine"", ""brown rice"", ""olives"", ""garlic"", ""green pepper""]","[""1 Tbsp. margarine"", ""1 green pepper"", ""chopped"", ""1/2 c. sliced"", ""pitted"", ""ripe olives"", ""1 envelope Italian style dressing mix"", ""1 bag Success 10-Minute brown rice"", ""cooked"", ""1 c. shredded pack skim Mozzarella cheese"", ""1 garlic clove"", ""minced"", ""1 can Italian style tomatoes""]"
Avocado And Potato Salad Of Bacalao,"[""tomato"", ""bread"", ""potato"", ""salt"", ""eggs"", ""onion"", ""white vinegar"", ""bacalao"", ""olive oil"", ""avocado""]","[""1 1/3 lb. bacalao (salt-dried codfish)"", ""1 large potato"", ""cut into chunks and cooked"", ""1 medium onion"", ""minced"", ""1 small avocado"", ""peeled and cut into chunks"", ""1 large tomato"", ""seeded and cut into chunks"", ""3 hard-cooked eggs"", ""chopped"", ""1 c. olive oil"", ""1/2 c. white vinegar"", ""salt and pepper to taste"", ""French bread""]"
Curried Chicken Or Turkey,"[""oil"", ""curry powder"", ""green onions"", ""water chestnuts"", ""celery stalk"", ""rice"", ""flour"", ""sweet basil"", ""pineapple bits"", ""chicken broth"", ""paprika"", ""almonds"", ""chicken"", ""green pepper"", ""pimento""]","[""1/4 c. oil"", ""1 bunch green onions"", ""chopped"", ""1 small celery stalk"", ""chopped"", ""1 green pepper"", ""chopped"", ""2 Tbsp. sliced almonds"", ""2 c. water chestnuts"", ""3 c. sliced chicken or turkey"", ""3 Tbsp. flour"", ""1 tsp. curry powder"", ""1 tsp. paprika"", ""1/2 tsp. sweet basil"", ""1 1/2 c. chicken broth"", ""1/4 c. pimento"", ""1 c. pineapple bits"", ""drained"", ""rice""]"
Onion Blossom,"[""egg"", ""honey"", ""flour"", ""cracker crumbs"", ""vidalia onion"", ""vegetable oil"", ""salt""]","[""1 large Vidalia onion"", ""2 Tbsp. flour"", ""1 large egg"", ""lightly beaten"", ""1 c. cracker crumbs or bread crumbs"", ""vegetable oil"", ""1/2 tsp. salt"", ""commercial dark honey mustard or Ranch-style salad dressing""]"
World'S Best Roast,"[""potatoes"", ""roast"", ""onion"", ""mushroom soup""]","[""3 or 4 lb. roast"", ""1 large onion"", ""sliced"", ""1 can mushroom soup"", ""potatoes"", ""carrots and 1 jar mushrooms""]"
David'S Pork Chops And Rice,"[""packet"", ""chicken"", ""pork chops"", ""water""]","[""pork chops"", ""2 c. water"", ""1 packet seasoning"", ""Rice-A-Roni (chicken flavored)""]"
Gumdrops,"[""sugar"", ""baking powder"", ""gumdrops"", ""shortening"", ""oats"", ""brown sugar"", ""eggs"", ""soda"", ""water"", ""flour"", ""salt""]","[""1 c. shortening"", ""1 c. brown sugar"", ""1 c. sugar"", ""2 eggs"", ""2 Tbsp. water"", ""2 c. flour"", ""1 tsp. baking powder"", ""1 tsp. soda"", ""1 tsp. salt"", ""3 c. oats"", ""1/2 c. gumdrops (I use lots more here)""]"
Red Beans And Rice(My Way)  ,"[""tomatoes"", ""italian sausage"", ""onion"", ""mushrooms"", ""red beans"", ""tomato juice"", ""sausage""]","[""1 (15 oz.) can red beans"", ""2 (1 lb.) cans whole tomatoes"", ""1 pkg. sliced fresh mushrooms"", ""1 large onion"", ""diced"", ""1 smoked sausage"", ""cut in bite-size pieces"", ""1 (12 oz.) pkg. Italian sausage"", ""1/2 large can tomato juice""]"
No-Grog Nog,"[""vanilla"", ""egg"", ""sugar"", ""cold milk""]","[""1 egg"", ""2 Tbsp. sugar"", ""1 c. cold milk"", ""1/2 Tbsp. vanilla""]"
Taquitos,"[""green chilies"", ""potatoes"", ""oil"", ""sour cream"", ""pepper"", ""cheddar cheese"", ""salsa"", ""onions"", ""corn tortillas"", ""chicken""]","[""Shredded Roast Beef or Chicken"", ""Onions"", ""Green Chilies"", ""Cheddar Cheese"", ""Small Cooked Potatoes"", ""diced"", ""Pepper"", ""Corn Tortillas"", ""Hot Oil"", ""Sour Cream"", ""Salsa guacamole""]"
Zucchini Stuffing Casserole,"[""cream of chicken soup"", ""sour cream"", ""onion"", ""carrots"", ""cubes"", ""butter"", ""zucchini""]","[""4 medium zucchini"", ""sliced 1/2-inch thick"", ""6 Tbsp. butter"", ""3/4 c. shredded carrots"", ""1/2 c. chopped onion"", ""2 1/4 c. herbed stuffing cubes"", ""1 (10 3/4 oz.) cream of chicken soup"", ""1/2 c. sour cream""]"
Oven Kalua Pork,"[""liquid smoke"", ""salt"", ""pork roast""]","[""1 (4 to 5 lb.) pork roast"", ""2 1/2 Tbsp. sea salt"", ""2 Tbsp. liquid smoke""]"
Scallops With Herb Sauce,"[""artichokes"", ""laurel leaf"", ""boston lettuce"", ""cucumbers"", ""onion"", ""chicken broth"", ""carrots"", ""chives"", ""mint""]","[""2 lb. sea scallops"", ""2 cucumbers"", ""16 asparagus (thin green)"", ""5 carrots"", ""4 artichokes"", ""4 turnips"", ""1 onion"", ""1 head Boston lettuce"", ""1 bunch chives"", ""5 mint leaves"", ""chicken broth"", ""1 bay laurel leaf""]"
Baked Lasagna,"[""oregano"", ""sugar"", ""pepper"", ""mozzarella cheese"", ""parmesan cheese"", ""water"", ""tomato puree"", ""parsley"", ""ricotta cheese"", ""lasagna"", ""beef"", ""garlic"", ""olive oil"", ""salt""]","[""2 cloves fresh garlic"", ""1 Tbsp. olive oil"", ""1 large can tomato puree"", ""1/2 can water"", ""2 tsp. salt"", ""1 tsp. pepper"", ""2 tsp. oregano"", ""1 Tbsp. sugar"", ""1 lb. lasagna"", ""1 lb. chopped beef"", ""2 Tbsp. parsley"", ""2 lb. Ricotta cheese"", ""1/2 lb. grated Parmesan cheese"", ""1 lb. Mozzarella cheese""]"
Three Cheese Chicken Bake,"[""condensed cream"", ""bread crumbs"", ""noodles"", ""cheddar cheese"", ""parmesan cheese"", ""onion"", ""mushrooms"", ""basil"", ""pimentos"", ""margarine"", ""cottage cheese"", ""chicken"", ""green pepper""]","[""1/2 c. chopped onion"", ""1/2 c. chopped green pepper"", ""3 Tbsp. margarine"", ""1 (10 3/4 oz.) can condensed cream of chicken soup (undiluted)"", ""1 (8 oz.) can sliced mushrooms"", ""drained"", ""1 (2 oz.) jar chopped pimentos"", ""drained"", ""1/2 tsp. dried basil"", ""1 (8 oz.) pkg. noodles"", ""cooked and drained"", ""3 c. cooked diced chicken"", ""2 c. cottage cheese"", ""2 c. shredded Cheddar cheese"", ""1/2 c. grated Parmesan cheese"", ""1/4 c. bread crumbs""]"
Hawaiian Chicken Breasts,"[""bell pepper"", ""soy sauce"", ""chicken breast"", ""brown sugar substitute"", ""pineapple""]","[""1 (3 oz.) chicken breast"", ""1/4 c. soy sauce"", ""1/2 c. crushed pineapple or slices"", ""1/2 bell pepper"", ""2 Tbsp. brown sugar substitute""]"
Old Fashion Potato Soup,"[""black pepper"", ""onions"", ""parsley"", ""milk"", ""white potatoes"", ""salt""]","[""6 to 8 white potatoes"", ""peeled and sliced"", ""3 med. sized"", ""sliced onions"", ""1 1/2 tsp. salt"", ""6 c. milk"", ""scalded"", ""2 Tbsp. chopped parsley"", ""black pepper""]"
Glazed Carrots(Microwave Dish)  ,"[""brown sugar"", ""water"", ""carrots"", ""mustard"", ""butter"", ""salt""]","[""6 carrots"", ""peeled and sliced crosswise"", ""2 Tbsp. water"", ""2 Tbsp. butter"", ""1/4 c. brown sugar"", ""packed"", ""1/4 tsp. salt"", ""1 tsp. prepared mustard""]"
Our Basic Waldorf Salad,"[""miracle"", ""marshmallows"", ""walnuts"", ""apples"", ""thin celery""]","[""3 c. chopped apples"", ""2 c. miniature marshmallows"", ""1 c. thin celery slices"", ""1/2 c. chopped walnuts"", ""Miracle Whip salad dressing""]"
Freezer Slaw,"[""cabbage"", ""sugar"", ""stalks celery"", ""white vinegar"", ""celery"", ""carrot"", ""green pepper"", ""salt""]","[""1 medium cabbage"", ""shredded"", ""1 Tbsp. salt"", ""3 stalks celery"", ""shredded"", ""1 carrot"", ""shredded"", ""1 green pepper"", ""chopped"", ""1 c. white vinegar"", ""1 c. sugar"", ""1 Tbsp. mustard seed"", ""1 tsp. celery seed""]"
Spaghetti Primavera(Serves Four)  ,"[""spaghetti"", ""tomatoes"", ""heavy cream"", ""parmesan cheese"", ""red pepper"", ""mushrooms"", ""basil"", ""green beans"", ""broccoli"", ""parsley"", ""olive oil"", ""garlic"", ""butter"", ""zucchini"", ""frozen peas""]","[""1 bunch broccoli"", ""cut into bite size"", ""2 small zucchini"", ""quartered and cut in 1-inch pieces"", ""4 asparagus spears"", ""in thirds"", ""1 1/2 c. green beans (1 inch)"", ""1/2 c. frozen peas"", ""2 c. thinly sliced mushrooms"", ""6 basil leaves"", ""chopped"", ""1/2 tsp. red pepper flakes"", ""1 tsp. chopped garlic"", ""3 c. seeded tomatoes"", ""1/4 c. chopped parsley"", ""1 lb. spaghetti"", ""1/2 stick butter"", ""1/2 c. heavy cream"", ""2/3 c. Parmesan cheese"", ""4 Tbsp. olive oil""]"
Shrimp In A Wok,"[""oregano"", ""black pepper"", ""beer"", ""ground red cayenne"", ""red pepper"", ""worcestershire"", ""rosemary"", ""thyme"", ""shrimp"", ""garlic"", ""butter"", ""salt""]","[""1 lb. cleaned shrimp"", ""1 tsp. ground red cayenne"", ""1 tsp. black pepper"", ""1/2 tsp. salt"", ""1/2 tsp. crushed red pepper"", ""1/2 tsp. rosemary"", ""1/2 tsp. thyme"", ""1/8 tsp. oregano"", ""1 stick plus 5 Tbsp. butter"", ""1 1/2 tsp. minced garlic"", ""1 tsp. Worcestershire"", ""3/4 c. beer""]"
Pizza Pasta,"[""bacon"", ""pizza sauce"", ""mozzarella cheese"", ""parmesan cheese"", ""onion"", ""green pepper"", ""mushrooms"", ""pork"", ""black olives"", ""pasta"", ""pepperoni""]","[""2 c. pasta"", ""uncooked (shells"", ""rotini or elbows)"", ""1 can pizza sauce"", ""Canadian bacon"", ""1/2 lb. cooked ground pork"", ""pepperoni"", ""1/4 c. chopped onion"", ""small green pepper"", ""diced"", ""1 small can sliced mushrooms"", ""drained"", ""1/4 c. sliced black olives"", ""3 c. Mozzarella cheese"", ""1/4 c. Parmesan cheese""]"
Easy Veggie Quiche,"[""oil"", ""pepper"", ""eggs"", ""flour"", ""cheese"", ""broccoli"", ""milk"", ""chicken"", ""salt""]","[""2 c. cheese"", ""1 1/2 c. chopped veggies (your choice"", ""any or all broccoli"", ""spinach"", ""carrots"", ""onions"", ""peppers)"", ""1 c. milk"", ""1 c. flour"", ""1 tsp. salt"", ""3 eggs"", ""1/4 tsp. pepper"", ""1 tbsp. oil"", ""chicken"", ""turkey"", ""bacon or pepperoni - optional""]"
Sugar Mountain Chicken Salad,"[""curry powder"", ""water chestnuts"", ""soy sauce"", ""lemon juice"", ""cantaloupe"", ""celery"", ""grapes"", ""mayonnaise"", ""paprika"", ""almonds"", ""chicken"", ""pineapple""]","[""1/2 to 3/4 c. mayonnaise"", ""1/2 tsp. curry powder"", ""4 c. coarsely cut up cooked chicken"", ""1 c. chopped celery"", ""1/2 (5 oz.) can water chestnuts"", ""sliced"", ""1 c. toasted almonds"", ""1/2 lb. green seedless grapes"", ""halved"", ""1/2 Tbsp. soy sauce"", ""1 tsp. lemon juice"", ""pineapple chunks"", ""cantaloupe"", ""paprika""]"
Savory Tuna Loaf,"[""pepper"", ""eggs"", ""tuna"", ""onion"", ""parsley flakes"", ""thyme"", ""milk"", ""bread crumbs"", ""salt""]","[""2 eggs"", ""1/2 c. milk"", ""2 c. soft bread crumbs"", ""1/4 c. minced onion"", ""1 Tbsp. parsley flakes"", ""1/4 tsp. thyme"", ""1 tsp. salt"", ""1/4 tsp. pepper"", ""3 cans tuna""]"
Club Chicken Casserole,"[""pimiento"", ""mushrooms"", ""all-purpose"", ""chicken"", ""chicken broth"", ""milk"", ""rice"", ""butter"", ""green pepper"", ""salt""]","[""4 Tbsp. butter"", ""1/4 c. all-purpose flour"", ""1 can (14 1/2-oz.) evaporated milk (1 2/3 c.)"", ""1 c. chicken broth"", ""3 c. cooked long-grain rice"", ""2 1/2 c. diced cooked chicken"", ""1 can (3-oz.) sliced mushrooms"", ""drained"", ""1/3 c. chopped green pepper"", ""1/4 c. chopped canned pimiento"", ""1 tsp. salt""]"
Stuffed Celery,"[""onion"", ""celery"", ""philadelphia cream cheese"", ""mayonnaise"", ""walnuts"", ""olives"", ""worcestershire sauce""]","[""1 pkg. Philadelphia cream cheese"", ""6 large or 12 small olives"", ""1 tsp. mayonnaise"", ""1 small"", ""finely chopped onion"", ""1 bunch of celery"", ""1 tsp. Worcestershire sauce"", ""walnuts (optional)""]"
Chicken For A Crowd,"[""pimiento"", ""bread"", ""lemon juice"", ""water chestnuts"", ""eggs"", ""cheddar cheese"", ""onion"", ""parsley flakes"", ""curry"", ""celery"", ""turkey"", ""mayonnaise"", ""cream"", ""cream of mushroom"", ""salt""]","[""4 c. diced"", ""cooked chicken or turkey"", ""1 c. chopped celery"", ""2 Tbsp. grated onion"", ""1 Tbsp. parsley flakes"", ""1 Tbsp. chopped pimiento"", ""2 Tbsp. lemon juice"", ""1/2 tsp. salt"", ""1/2 c. mayonnaise"", ""a little curry"", ""water chestnuts"", ""if desired"", ""8 slices bread"", ""cubed"", ""3 eggs"", ""1 pt. half and half cream"", ""1 can cream of mushroom or cream of chicken soup"", ""1 c. grated Cheddar cheese""]"
Potatoes Cheese Broccoli Soup,"[""potatoes"", ""velveeta cheese"", ""chicken soup"", ""chicken broth"", ""milk"", ""worcestershire sauce""]","[""potatoes"", ""onions"", ""celery"", ""carrots and broccoli"", ""1/4 lb. Velveeta cheese"", ""2 Tbsp. Worcestershire sauce"", ""1 can evaporated milk"", ""1 can chicken soup"", ""chicken broth""]"
Ground Beef Surprise,"[""ground round"", ""cream of chicken soup"", ""cream of mushroom soup"", ""onion"", ""salt""]","[""2 lb. ground round"", ""salt and pepper to taste"", ""1 medium onion"", ""chopped"", ""1 bag frozen French fries"", ""1 can cream of chicken soup"", ""1 can cream of mushroom soup""]"
Egg Noodles,"[""flour"", ""eggs"", ""salt""]","[""3 or 4 eggs"", ""sprinkle of salt"", ""flour to make soft dough""]"
Pear Salad,"[""lettuce leaves"", ""sugar"", ""pear halves"", ""cream cheese"", ""cherry halves""]","[""1 large can pear halves"", ""lettuce leaves"", ""8 oz. cream cheese"", ""Tbsp. sugar"", ""cherry halves""]"
Potatoes Elite,"[""sour cream"", ""frozen hash brown potatoes"", ""pepper"", ""garlic salt"", ""cheddar cheese"", ""cream of potato soup"", ""onion flakes"", ""margarine"", ""parsley""]","[""1 (2 lb.) pkg. frozen hash brown potatoes"", ""thawed and shredded"", ""4 oz. grated mellow Cheddar cheese"", ""1 can cream of potato soup (undiluted)"", ""1 pt. sour cream"", ""1 Tbsp. onion flakes"", ""1 Tbsp. garlic salt"", ""1 Tbsp. parsley"", ""1/2 tsp. pepper"", ""1/2 stick margarine"", ""melted""]"
Arroz Con Pollo(Chicken With Rice)  ,"[""rice"", ""clove garlic"", ""chicken broth"", ""onions"", ""chicken"", ""tomato sauce"", ""vegetable oil"", ""green pepper"", ""salt""]","[""2 1/2 to 3 lb. frying chicken pieces"", ""1/4 c. vegetable oil"", ""salt and pepper"", ""2 medium onions"", ""sliced thin"", ""1 large green pepper"", ""chopped"", ""1 clove garlic"", ""minced"", ""2 c. uncooked rice"", ""8 oz. tomato sauce"", ""1 qt. chicken broth""]"
Ranger 9-Bean Soup,"[""ground red pepper"", ""tomatoes"", ""ham hocks"", ""lemon juice"", ""black pepper"", ""onion"", ""mixed beans"", ""water"", ""ham"", ""garlic"", ""salt""]","[""1 lb. mixed beans"", ""2 qt. water"", ""3 ham hocks"", ""1 large onion"", ""chopped"", ""1/4 garlic powder"", ""1 tsp. ground red pepper"", ""1 (28 oz.) can tomatoes"", ""3 Tbsp. lemon juice (bottled)"", ""1 Tbsp. salt"", ""3/4 tsp. black pepper"", ""2 c. ham"", ""diced""]"
Pasta With Tomatoes And Four Cheeses,"[""rotelle"", ""tomatoes"", ""mozzarella cheese"", ""parmesan cheese"", ""freshly ground pepper"", ""freshly ground nutmeg"", ""fontina cheese"", ""milk"", ""ricotta cheese"", ""garlic"", ""fresh basil""]","[""2 3/4 lb. tomatoes"", ""cored and cut into 3/4-inch dices"", ""1/2 c. shredded fresh basil"", ""1 large garlic clove"", ""minced"", ""1 c. Ricotta cheese"", ""at room temperature"", ""2 Tbsp. milk"", ""freshly ground pepper"", ""freshly ground nutmeg"", ""1/2 c. Fontina cheese"", ""cut into 1/4-inch dices"", ""1/2 c. Mozzarella cheese"", ""cut into 1/4-inch dices"", ""1 lb. rotelle or other short pasta"", ""1 c. freshly grated Parmesan cheese""]"
Holiday Deviled Eggs,"[""eggs"", ""shredded cheese"", ""mayonnaise"", ""salt""]","[""12 boiled eggs"", ""salt and pepper to taste"", ""2 Tbsp. mayonnaise"", ""1 Tbsp. mustard (to moisten)"", ""1/4 c. shredded cheese""]"
Chicken Amandine,"[""onions"", ""white wine"", ""gourmet parmesan"", ""olive oil"", ""boneless skinless chicken breast halves""]","[""3/4 c. dry white wine"", ""1/4 c. olive oil"", ""1 envelope Good Seasons gourmet Parmesan Italian or Italian salad dressing mix"", ""1 lb. boneless skinless chicken breast halves"", ""1/2 c. each: sliced green onions and sliced almonds""]"
Okra And Tomatoes,"[""tomatoes"", ""onion"", ""okra"", ""red"", ""butter"", ""olive oil"", ""salt""]","[""1 Tbsp. olive oil"", ""1 tsp. butter"", ""1/2 c. finely chopped onion"", ""2 Tbsp. chopped red or green pepper"", ""1 lb. tomatoes"", ""peeled and chopped"", ""1/2 lb. okra"", ""cut into 1/2-inch slices"", ""salt and pepper to taste""]"
Picadillo,"[""tomatoes"", ""cinnamon"", ""ground cloves"", ""onion"", ""raisins"", ""clove garlic"", ""cumin seed"", ""ground beef"", ""cider vinegar"", ""vegetable oil"", ""almonds"", ""salt""]","[""1 lb. ground beef"", ""1 medium onion"", ""chopped"", ""1 Tbsp. vegetable oil"", ""1 clove garlic"", ""crushed"", ""1 tsp. cinnamon"", ""1/4 tsp. cumin seed"", ""pinch of ground cloves"", ""2 large tomatoes"", ""peeled and chopped"", ""2 Tbsp. cider vinegar"", ""1/2 c. raisins"", ""1 tsp. salt"", ""1/2 c. slivered almonds""]"
Meat Loaf Caesar,"[""egg"", ""tomato paste"", ""pepper"", ""lean ground beef"", ""rosemary"", ""red wine"", ""hot italian sausage"", ""garlic"", ""red onion"", ""bread crumbs""]","[""1 lb. lean ground beef"", ""1/4 lb. hot Italian sausage"", ""3 Tbsp. chopped red onion"", ""2 cloves garlic"", ""minced or pressed"", ""1 egg"", ""beaten"", ""2 Tbsp. tomato paste"", ""2 Tbsp. red wine or chicken broth"", ""3 Tbsp. bread crumbs"", ""1 tsp. rosemary"", ""pepper rings (for garnish)""]"
Low-Fat Oven Fried Chicken,"[""oleo"", ""pepper"", ""garlic salt"", ""chicken thighs"", ""cornflakes"", ""paprika""]","[""1 pkg. chicken thighs or legs"", ""1/3 c. melted oleo or buttermilk"", ""2 c. crushed cornflakes"", ""1/4 tsp. garlic salt or powder"", ""1/4 tsp. paprika"", ""1/4 tsp. pepper""]"
