Disease,Best_Foods,Worst_Foods,Best_Nutrition,Worst_Nutrition
maturity-onset diabetes of the young type 10,"['chicken breast', 'onion-mushroom soup mix']","['chicken', 'garlic', 'potatoes']","['high iron', 'high vitamin c', 'low calories']","['high sodium', 'low calcium', 'low magnesium']"
Noonan syndrome 12,"['chicken', 'garlic', 'tomatoes']","['apple', 'lemon juice']","['high magnesium', 'high potassium']","['high cholesterol', 'high sodium']"
drug-induced hepatitis,"['eggs', 'grated cheese', 'water']","['bacon', 'fresh spinach']","['high magnesium', 'high vitamin c', 'low carbohydrate']","['high cholesterol', 'low calcium']"
thyrotoxicosis,"['swiss cheese', 'tomato']","['butter', 'mushroom soup', 'onions']","['high iron', 'high potassium', 'high protein']","['low magnesium', 'low vitamin c']"
lesion of sciatic nerve,"['cheese', 'pineapple', 'water']","['cooking oil', 'salt', 'vinegar']","['high fiber', 'high potassium', 'low carbohydrate']","['high calories', 'low iron']"
cerebral infarction,"['pepper', 'turkey']","['pork sausage links', 'water']","['low cholesterol', 'low sodium']","['high carbohydrate', 'low calcium', 'low magnesium']"
urethral disease,"['green pepper', 'onion', 'total ground sirloin']","['lemon pepper', 'onion powder']","['high calcium', 'high iron', 'high vitamin c']","['high carbohydrate', 'low potassium']"
congenital myopathy 17,"['chicken', 'garlic powder', 'oil']","['horseradish', 'sausage']","['high protein', 'low calories', 'low sodium']","['high total fats', 'low vitamin c']"
Treacher Collins syndrome 3,"['eggs', 'garlic', 'pepper']","['italian seasoning', 'meat']","['high iron', 'high protein', 'low carbohydrate']","['high cholesterol', 'low fiber']"
hemoglobin D disease,"['orange rind', 'persimmons', 'sugar']","['eggs', 'mushrooms']","['high calcium', 'high potassium', 'low cholesterol']","['high carbohydrate', 'low fiber', 'low protein']"
retinitis pigmentosa 36,"['sugar', 'vanilla extract']","['chicken breasts with', 'garlic powder', 'pepper']","['high potassium', 'high vitamin c']","['high calories', 'low magnesium', 'low protein']"
Leber congenital amaurosis 10,"['pack', 'stalks celery']","['cream of chicken soup', 'hash browns', 'sour cream']","['high iron', 'high magnesium', 'high vitamin c']","['high sodium', 'low protein']"
Woodhouse-Sakati syndrome,"['green pepper', 'powdered ginger']","['lemon juice', 'sherry', 'worcestershire']","['high calcium', 'low sodium', 'low total fats']","['high calories', 'low fiber', 'low protein']"
Smith-Magenis syndrome,"['basil', 'salt', 'tomatoes']","['cheddar cheese', 'macaroni', 'margarine']","['low calories', 'low carbohydrate']","['low fiber', 'low magnesium', 'low protein']"
placenta praevia,"['butter', 'directions', 'salt']","['chicken', 'ginger', 'sage']","['high calcium', 'high protein', 'low total fats']","['high carbohydrate', 'low potassium']"
malignant neoplasm of acoustic nerve,"['cream of chicken soup', 'leftover mashed potatoes']","['salt', 'steak', 'water']","['high fiber', 'low sodium']","['high cholesterol', 'low calcium']"
hypogonadotropic hypogonadism 19 with or without anosmia,"['parsley-pimiento glaze', 'white bread']","['milk', 'pistachio instant pudding']","['high magnesium', 'high vitamin c']","['high carbohydrate', 'high sodium']"
choroid epithelioid cell melanoma,"['bowl', 'cottage cheese', 'jell-o']","['beans', 'cream of mushroom soup']","['high iron', 'high protein', 'high vitamin c']","['high cholesterol', 'high total fats', 'low potassium']"
superior mesenteric artery syndrome,"['fresh-grated lemon peel', 'lemon pepper']","['brown sugar', 'parsley']","['high fiber', 'high iron']","['high calories', 'low calcium', 'low vitamin c']"
pituitary adenoma 5,"['ketchup', 'onion', 'potatoes']","['almonds', 'cayenne', 'white crab meat']","['high fiber', 'high protein']","['low iron', 'low vitamin c']"
interstitial keratitis,"['cream of chicken soup', 'onion', 'veg-all']","['onions', 'pepper', 'sour cream']","['high fiber', 'low carbohydrate']","['low magnesium', 'low potassium']"
septooptic dysplasia,"['celery', 'salt', 'vinegar']","['chicken', 'cream of chicken', 'salt']","['high iron', 'low carbohydrate', 'low total fats']","['low calcium', 'low potassium', 'low protein']"
progesterone-receptor positive breast cancer,"['all-purpose', 'ham']","['basil', 'tomatoes']","['high vitamin c', 'low sodium']","['high calories', 'high cholesterol']"
superior semicircular canal dehiscence,"['couple drops', 'food coloring', 'salt']","['corn syrup', 'salt']","['high fiber', 'high iron']","['high sodium', 'low magnesium']"
Gaucher's disease type I,"['chicken', 'margarine', 'pineapple juice']","['parmesan cheese', 'sour cream']","['high magnesium', 'low cholesterol']","['high total fats', 'low calcium']"
hypoglossal nerve neoplasm,"['garlic', 'hamburger', 'tomato soup']","['brownie mix', 'egg', 'water']","['high vitamin c', 'low carbohydrate', 'low sodium']","['high calories', 'low potassium']"
microcephaly and chorioretinopathy 3,"['clove garlic', 'shrimp', 'tomato']","['garlic', 'lemon juice', 'salt']","['high protein', 'low cholesterol']","['low fiber', 'low magnesium']"
cutaneous adenocystic carcinoma,"['butter', 'water chestnuts']","['celery', 'nuts', 'water']","['high iron', 'high magnesium', 'low cholesterol']","['high calories', 'low fiber', 'low vitamin c']"
osteogenesis imperfecta type 10,"['pecans', 'wheat']","['green pepper', 'shortening', 'tomatoes']","['high vitamin c', 'low cholesterol', 'low sodium']","['high total fats', 'low calcium', 'low magnesium']"
trachea leiomyoma,"['condensed cream', 'frozen peas with pearl onions']","['green chilies', 'shredded cheddar', 'sour cream']","['high magnesium', 'high potassium']","['high carbohydrate', 'high cholesterol']"
retinal degeneration,"['carrots', 'pepper', 'water']","['fresh parsley', 'salt']","['high calcium', 'low carbohydrate']","['high cholesterol', 'low protein']"
agammaglobulinemia 7,"['clove garlic', 'lemon juice', 'peanut butter']","['carrots', 'tomato soup']","['high iron', 'low calories']","['low potassium', 'low vitamin c']"
nasal type extranodal NK/T-cell lymphoma,"['beans', 'pimento', 'water']","['parmesan cheese', 'red pepper', 'salt']","['high potassium', 'low calories']","['high cholesterol', 'high total fats']"
cystic fibrosis,"['celery', 'pimiento']","['cheddar cheese', 'pepper']","['high potassium', 'high vitamin c']","['high cholesterol', 'low magnesium']"
autosomal recessive nonsyndromic deafness 15,"['flour', 'water']","['lemon jello', 'pineapple', 'very ripe bananas']","['high protein', 'low carbohydrate', 'low cholesterol']","['low iron', 'low magnesium']"
myopathy,"['water', 'white rice']","['cream of mushroom soup', 'rice', 'water']","['high iron', 'low cholesterol']","['low magnesium', 'low protein']"
Aagenaes syndrome,"['beef roast', 'onion soup', 'water']","['mushrooms', 'rice', 'white tuna']","['high fiber', 'high vitamin c']","['high calories', 'high carbohydrate', 'high sodium']"
visceral heterotaxy 7,"['fish', 'okra']","['garlic', 'patty shells']","['high magnesium', 'high protein']","['high cholesterol', 'low fiber', 'low iron']"
type 1 diabetes mellitus 18,"['lemon', 'shredded coconut']","['rice', 'water']","['high potassium', 'high protein']","['high sodium', 'low calcium', 'low fiber']"
hereditary lymphedema IB,"['nuts', 'water']","['crackers', 'sugar']","['high fiber', 'low cholesterol']","['high carbohydrate', 'low magnesium', 'low vitamin c']"
petroclival meningioma,"['mushroom soup', 'onions']","['brown sugar', 'dry mustard', 'soy sauce']","['high magnesium', 'low sodium']","['high carbohydrate', 'low protein']"
hereditary spastic paraplegia 16,"['bread', 'mozzarella cheese']","['chicken broth', 'garlic', 'zucchini']","['high iron', 'high magnesium', 'low calories']","['high carbohydrate', 'low calcium', 'low vitamin c']"
pancreatic ductal carcinoma,"['almonds', 'potato chips']","['almonds', 'buttered coarse bread crumbs', 'celery']","['high fiber', 'high magnesium', 'low sodium']","['high total fats', 'low potassium']"
early-onset epilepsy 2,"['paprika', 'potatoes', 'salt']","['baking potatoes', 'garlic salt', 'sour cream']","['high fiber', 'low cholesterol']","['high sodium', 'low protein']"
arteriolosclerosis,"['egg', 'salt', 'sugar']","['eggs', 'hamburger', 'steak sauce']","['high fiber', 'low carbohydrate', 'low cholesterol']","['low magnesium', 'low protein', 'low vitamin c']"
parasitic infectious disease,"['eggplant', 'oil']","['oleo', 'salt']","['high protein', 'low sodium']","['high total fats', 'low iron']"
autosomal recessive intellectual developmental disorder,"['chili powder', 'ground deer', 'onion']","['dill weed', 'potatoes', 'water']","['high magnesium', 'high potassium', 'high protein']","['high total fats', 'low calcium', 'low fiber']"
Kufor-Rakeb syndrome,"['butter', 'garlic', 'soy sauce']","['catsup', 'green pepper', 'salt']","['high iron', 'high magnesium', 'low sodium']","['high calories', 'low potassium']"
glottis squamous cell carcinoma,"['cracker crumbs', 'lard', 'salt']","['garlic', 'pasta']","['high iron', 'low carbohydrate']","['low calcium', 'low vitamin c']"
peripheral vertigo,"['chili seasoning', 'tomato sauce']","['cream-style horseradish', 'worcestershire sauce']","['high iron', 'high potassium']","['high total fats', 'low fiber']"
autosomal recessive spinocerebellar ataxia 19,"['+', 'garlic', 'pasta']","['fresh cilantro', 'sweet red pepper', 'sweet yellow pepper']","['high potassium', 'low calories']","['high sodium', 'low vitamin c']"
developmental and epileptic encephalopathy 83,"['chili with beans', 'cream cheese', 'green onions']","['onion', 'pepper']","['high potassium', 'low sodium']","['high carbohydrate', 'low calcium', 'low iron']"
Native American myopathy,"['green pepper', 'radishes']","['butter', 'fresh mushrooms', 'parsley']","['high fiber', 'low cholesterol']","['high calories', 'low calcium', 'low protein']"
congenital dyserythropoietic anemia type IVa,"['milk', 'pepper']","['eggs', 'green onion', 'salt']","['low calories', 'low carbohydrate']","['high cholesterol', 'high total fats', 'low vitamin c']"
cholesteatoma of external ear,"['bread crumbs', 'butter']","['flour', 'salt']","['high potassium', 'low calories']","['high total fats', 'low vitamin c']"
Charcot-Marie-Tooth disease axonal type 2Z,"['onion', 'sauerkraut', 'sour cream']","['cream of mushroom soup', 'onion', 'white rice']","['high fiber', 'low calories']","['high carbohydrate', 'high total fats', 'low vitamin c']"
Parkinson's disease,"['butter', 'lime', 'lime juice']","['ground beef', 'mushroom soup', 'tomato soup']","['high fiber', 'low carbohydrate']","['high calories', 'low vitamin c']"
familial medullary thyroid carcinoma,"['chicken bouillon cubes', 'margarine', 'mushrooms']","['cheddar cheese', 'cream of chicken soup', 'onion']","['low calories', 'low carbohydrate', 'low total fats']","['low protein', 'low vitamin c']"
pancreatic non-invasive mucinous cystadenocarcinoma,"['egg', 'pecan halves', 'water']","['flour', 'parsley', 'salt']","['high calcium', 'low cholesterol', 'low sodium']","['high calories', 'low potassium']"
unilateral focal polymicrogyria,"['bacon', 'tomato sauce', 'whole kernel corn']","['bread crumbs', 'tuna']","['high potassium', 'high vitamin c']","['high carbohydrate', 'low iron', 'low magnesium']"
Stickler syndrome 1,"['fresh lemon', 'olive oil']","['margarine', 'parsley', 'pepper']","['high magnesium', 'low cholesterol', 'low sodium']","['low calcium', 'low fiber', 'low iron']"
spermatogenic failure 64,"['egg noodles', 'loose sausage']","['corn oil', 'tomato', 'vinegar']","['high potassium', 'low calories', 'low sodium']","['high cholesterol', 'low magnesium', 'low protein']"
pontocerebellar hypoplasia type 16,"['flour', 'sugar', 'water']","['butter', 'egg yolks', 'lemon juice']","['high magnesium', 'low carbohydrate']","['high calories', 'high sodium']"
active cochlear Meniere's disease,"['salad oil', 'salt', 'white vinegar']","['bread crumbs', 'chicken breasts', 'salt']","['low cholesterol', 'low sodium', 'low total fats']","['low calcium', 'low potassium']"
herpangina,"['catsup', 'margarine', 'molasses']","['honey', 'mustard']","['high vitamin c', 'low sodium']","['low calcium', 'low iron', 'low protein']"
bronchiolitis,"['cauliflower florets', 'tomato']","['banana', 'frozen strawberries', 'lemon']","['high fiber', 'low cholesterol']","['high calories', 'low iron', 'low magnesium']"
adult malignant mesenchymoma,"['chicken', 'consomme', 'pepper']","['bulk sausage', 'cheese', 'salt']","['high calcium', 'high iron', 'high magnesium']","['high sodium', 'low fiber']"
Charcot-Marie-Tooth disease type 6,"['chicken breasts', 'chicken broth', 'chicken stuffing']","['chili powder', 'garlic powder']","['high fiber', 'high potassium']","['high total fats', 'low iron']"
infantile-onset myofibrillar myopathy 12 with cardiomyopathy,"['bread crumbs', 'butter', 'thyme']","['flour', 'margarine']","['high calcium', 'low cholesterol']","['high sodium', 'low vitamin c']"
developmental and epileptic encephalopathy 103,"['bay leaves', 'onions', 'stalks celery']","['hamburger patties', 'potatoes', 'salt']","['high protein', 'low calories', 'low cholesterol']","['low calcium', 'low potassium']"
substance abuse,"['ground lean beef', 'italian style bread crumbs']","['lime jello', 'pineapple', 'red raspberry']","['high calcium', 'high magnesium']","['high cholesterol', 'low fiber', 'low protein']"
ovarian endometrioid cystadenoma,"['oleo', 'pepper', 'salt']","['pepper', 'salt']","['high calcium', 'high potassium', 'low cholesterol']","['low fiber', 'low vitamin c']"
diffuse interstitial keratitis,"['salt', 'vinegar']","['mayonnaise', 'nuts']","['high fiber', 'low total fats']","['low magnesium', 'low potassium', 'low vitamin c']"
pityriasis versicolor,"['chicken breasts', 'rice', 'spaghetti']","['carrots', 'cheddar cheese', 'crescent dinner rolls']","['low cholesterol', 'low sodium', 'low total fats']","['low calcium', 'low fiber']"
non-secretory myeloma,"['onion', 'pork chops', 'tomato sauce']","['cucumbers', 'onion', 'sugar']","['high fiber', 'high vitamin c']","['high carbohydrate', 'high sodium']"
atelosteogenesis,"['cream of broccoli soup', 'mushroom pieces']","['onions', 'sugar', 'vinegar']","['high vitamin c', 'low calories']","['high cholesterol', 'high total fats', 'low iron']"
pulmonary edema,"['italian hot sausage', 'kielbasa']","['butter', 'linguine']","['high fiber', 'high potassium', 'low calories']","['low protein', 'low vitamin c']"
dyshormonogenic goiter,"['fresh cilantro', 'salt']","['eggs', 'green pepper']","['high potassium', 'high protein']","['low iron', 'low magnesium']"
cervical adenoid basal carcinoma,"['cantaloupe', 'cornstarch', 'frozen raspberries']","['bread crumbs', 'mozzarella cheese', 'mushrooms']","['high iron', 'high potassium', 'low cholesterol']","['high calories', 'low fiber']"
actinic keratosis,"['crab meat', 'eggs', 'onion']","['bread', 'oleo']","['high calcium', 'high vitamin c', 'low total fats']","['high carbohydrate', 'low fiber']"
dermatitis herpetiformis,"['frozen fish', 'tomato sauce']","['garlic', 'lime juice', 'plain yogurt']","['high calcium', 'high magnesium', 'low carbohydrate']","['low protein', 'low vitamin c']"
acute asthma,"['hash browns', 'tomatoes']","['clove garlic', 'sirloin tips', 'worcestershire sauce']","['high potassium', 'high protein', 'low total fats']","['high sodium', 'low calcium', 'low magnesium']"
intracranial berry aneurysm 3,"['finge cracker crumbs', 'sugar', 'tomatoes']","['eggs', 'mustard', 'tomato ketchup']","['high calcium', 'high fiber', 'high vitamin c']","['high total fats', 'low iron', 'low magnesium']"
external pathological resorption,"['beans', 'minestrone soup', 'water']","['cornstarch', 'flour']","['high vitamin c', 'low carbohydrate', 'low sodium']","['low potassium', 'low protein']"
"dystonia 28, childhood-onset","['cucumbers', 'italian dressing', 'onion']","['italian dressing', 'tomato sauce']","['low carbohydrate', 'low cholesterol', 'low sodium']","['high calories', 'low calcium', 'low magnesium']"
ganglion or cyst of synovium/tendon/bursa,"['flour', 'herb seasoned bread crumbs', 'margarine']","['bay leaves', 'garlic', 'onions']","['high fiber', 'low cholesterol']","['high calories', 'high sodium', 'low iron']"
autosomal recessive limb-girdle muscular dystrophy type 2L,"['cappellini', 'olive oil', 'pine nuts']","['cashews', 'egg noodles']","['low calories', 'low carbohydrate']","['high cholesterol', 'low magnesium', 'low protein']"
spindle cell oncocytoma,"['sour cream', 'worcestershire sauce']","['ground beef', 'salt', 'steak sauce']","['high calcium', 'high fiber']","['high carbohydrate', 'low vitamin c']"
refractive error,"['loaves', 'margarine', 'tabasco sauce']","['cream cheese', 'green onions', 'tuna']","['high fiber', 'low calories', 'low carbohydrate']","['low calcium', 'low magnesium', 'low vitamin c']"
visceral heterotaxy 11,"['beef bouillon', 'flour', 'potatoes']","['coconut', 'cottage cheese', 'mandarin oranges']","['high fiber', 'high iron']","['high sodium', 'low calcium', 'low magnesium']"
night blindness,"['beer', 'mushrooms']","['cheese', 'eggs', 'sausage']","['high magnesium', 'low calories', 'low carbohydrate']","['high cholesterol', 'high total fats', 'low protein']"
acute myeloid leukemia with CBFA2T3-GLIS2 fusion,"['cranberries', 'water']","['crabmeat', 'english cheese spread', 'mayonnaise']","['high calcium', 'low calories', 'low cholesterol']","['low iron', 'low potassium']"
bullous skin disease,"['bouillon cubes', 'mushrooms', 'water']","['eggplant', 'salt']","['high iron', 'high magnesium', 'low calories']","['high sodium', 'low fiber', 'low potassium']"
Bardet-Biedl syndrome 2,"['garlic salt', 'ground turkey', 'oats']","['ham', 'maple syrup']","['high magnesium', 'high vitamin c']","['high calories', 'low iron', 'low protein']"
choledochal cyst,"['american cheese', 'dry mustard', 'pepper']","['egg', 'margarine']","['high fiber', 'low carbohydrate']","['high calories', 'low vitamin c']"
autosomal recessive woolly hair 3,"['rice', 'salt', 'sausage']","['cheddar cheese', 'sour cream']","['high iron', 'high potassium', 'high vitamin c']","['high carbohydrate', 'high total fats']"
meningothelial meningioma,"['garbanzo beans', 'olive oil', 'shredded lettuce']","['oregano', 'yeast']","['high protein', 'low carbohydrate', 'low sodium']","['high total fats', 'low calcium', 'low potassium']"
maxillary sinus cholesteatoma,"['celery', 'head lettuce', 'mayonnaise']","['olive oil', 'parsley flakes']","['low carbohydrate', 'low cholesterol', 'low sodium']","['low calcium', 'low iron']"
occlusion of gallbladder,"['cayenne', 'garlic', 'onion']","['chili sauce', 'egg']","['high vitamin c', 'low carbohydrate', 'low total fats']","['high sodium', 'low iron']"
penis squamous cell carcinoma,"['bisquick', 'margarine', 'milk']","['giardiniera', 'green olives', 'salami']","['high calcium', 'low carbohydrate']","['high total fats', 'low iron']"
gangliocytoma,"['chili powder', 'salt']","['mozzarella', 'rigatoni']","['high fiber', 'high potassium']","['high total fats', 'low vitamin c']"
holoprosencephaly 7,"['eggs', 'parmesan cheese']","['green peppers', 'italian dressing', 'olives']","['high vitamin c', 'low calories']","['high total fats', 'low fiber', 'low protein']"
primary ciliary dyskinesia 45,"['dill weed', 'honey']","['bluegill fillets', 'oregano', 'parmesan cheese']","['high iron', 'high protein']","['high sodium', 'low potassium', 'low vitamin c']"
mixed epithelial tumor of ovary,"['chicken', 'vegetable oil']","['long grain rice', 'salt', 'shortening']","['high calcium', 'low sodium']","['high calories', 'high carbohydrate', 'low magnesium']"
autosomal recessive intellectual developmental disorder 70,"['gravy', 'onion']","['beef', 'cream of mushroom soup']","['high vitamin c', 'low cholesterol']","['high carbohydrate', 'high total fats', 'low iron']"
urethral benign neoplasm,"['beef bouillon', 'salt', 'zucchini']","['beef broth', 'croutons']","['high magnesium', 'low cholesterol']","['high carbohydrate', 'low protein']"
acute myeloid leukemia with t(8;21); (q22; q22.1),"['bacon', 'carrots']","['green onions', 'salmon']","['high calcium', 'low carbohydrate', 'low total fats']","['high calories', 'low magnesium', 'low vitamin c']"
maturity-onset diabetes of the young,"['onion', 'paprika']","['italian spices', 'salt']","['high fiber', 'low calories', 'low total fats']","['high sodium', 'low iron', 'low vitamin c']"
Joubert syndrome 2,"['black-eyed peas', 'italian dressing', 'pimento']","['kidney beans', 'sausage', 'tomato paste']","['low cholesterol', 'low total fats']","['high calories', 'high carbohydrate', 'low iron']"
familial isolated deficiency of vitamin E,"['del monte', 'milk']","['celery', 'onion']","['high fiber', 'low calories']","['low iron', 'low vitamin c']"
Christianson syndrome,"['cream cheese', 'garlic salt', 'pecans']","['butter', 'cheddar cheese', 'pepper']","['high calcium', 'low calories']","['high cholesterol', 'high sodium', 'low magnesium']"
immunodeficiency 16,"['pineapple', 'salt']","['cream cheese', 'eggs', 'yellow cake mix']","['high fiber', 'high magnesium', 'low total fats']","['high calories', 'high carbohydrate']"
progressive myoclonus epilepsy 8,"['cheese', 'cream of mushroom soup or celery soup']","['cheddar cheese', 'flour tortillas', 'ground meat']","['high iron', 'high magnesium']","['low calcium', 'low fiber', 'low potassium']"
syndromic X-linked intellectual disability 5,"['oil', 'zucchini']","['boneless pork chops', 'garlic', 'parmesan cheese']","['high vitamin c', 'low cholesterol']","['high sodium', 'low potassium']"
facioscapulohumeral muscular dystrophy,"['garlic', 'green pepper']","['ground chuck', 'marinara sauce']","['low calories', 'low carbohydrate', 'low sodium']","['high cholesterol', 'low potassium']"
esophagus sarcoma,"['eggs', 'mozzarella cheese', 'salt']","['clove garlic', 'fresh parsley', 'mozzarella cheese']","['high magnesium', 'high potassium', 'low carbohydrate']","['high calories', 'high cholesterol', 'low protein']"
non-syndromic X-linked intellectual disability 19,"['salt', 'saltines']","['chicken broth', 'flour', 'linguini']","['high magnesium', 'high vitamin c', 'low total fats']","['high cholesterol', 'low potassium']"
myoma,"['green onions', 'unsalted butter', 'vermicelli noodles']","['chopped spinach', 'water']","['high potassium', 'high vitamin c', 'low total fats']","['high calories', 'low fiber']"
severe COVID-19,"['margarine', 'parmesan cheese', 'scallions']","['caraway seed', 'milk']","['high vitamin c', 'low calories']","['high total fats', 'low fiber', 'low magnesium']"
Leber congenital amaurosis 17,"['cream of mushroom soup', 'pepper', 'salt']","['pepper', 'salt']","['high vitamin c', 'low total fats']","['high calories', 'high carbohydrate', 'low calcium']"
argininosuccinic aciduria,"['beef short ribs', 'pepper', 'water']","['onion', 'potatoes']","['high iron', 'low calories', 'low sodium']","['high cholesterol', 'low magnesium']"
nuclear type mitochondrial complex I deficiency 2,"['green pepper', 'tomatoes']","['cream cheese', 'olives', 'onion']","['high calcium', 'high magnesium']","['high cholesterol', 'high total fats', 'low iron']"
snowflake vitreoretinal degeneration,"['buttermilk', 'eggs', 'salt']","['eggs', 'young sweet peas']","['high magnesium', 'high protein', 'low carbohydrate']","['high calories', 'high cholesterol', 'low fiber']"
anthracosilicosis,"['lemon rind', 'orange', 'orange rind']","['mushrooms', 'oleo', 'uncle ben']","['high protein', 'low carbohydrate']","['high cholesterol', 'high sodium', 'low iron']"
Duane retraction syndrome 3,"['lemon rind', 'margarine', 'salt']","['flour', 'salt']","['high fiber', 'high magnesium', 'high potassium']","['high sodium', 'high total fats', 'low calcium']"
congenital muscular dystrophy due to integrin alpha-7 deficiency,"['celery', 'water']","['bread', 'honey']","['high fiber', 'high vitamin c', 'low total fats']","['low iron', 'low magnesium', 'low potassium']"
esophageal disease,"['bay leaves', 'lemon juice', 'peanut oil']","['honey nut', 'peanuts', 'white wafer chocolate']","['high calcium', 'high fiber', 'low sodium']","['high calories', 'high carbohydrate', 'low magnesium']"
female breast lower-outer quadrant cancer,"['onion', 'salt']","['garlic', 'salt', 'tomatoes']","['high iron', 'low calories', 'low carbohydrate']","['high total fats', 'low magnesium', 'low potassium']"
paratyphoid fever,"['ground beef', 'salt']","['brown sugar', 'salt', 'tomato juice']","['high iron', 'high magnesium', 'high vitamin c']","['high sodium', 'low potassium']"
dystonia 30,"['soy sauce', 'water chestnuts']","['fettuccine', 'heavy cream', 'olive oil']","['high fiber', 'high vitamin c', 'low total fats']","['high carbohydrate', 'high cholesterol', 'low iron']"
adult-onset Still's disease,"['dijon mustard', 'ham steak']","['golden grahams cereal', 'margarine', 'peanuts']","['high calcium', 'high fiber', 'high vitamin c']","['high calories', 'high total fats', 'low protein']"
corneal abscess,"['honey', 'romano cheese']","['chicken bouillon cubes', 'margarine', 'onion']","['high fiber', 'high potassium', 'low total fats']","['low calcium', 'low protein']"
breast apocrine carcinoma,"['olive oil', 'parsley', 'salt']","['chicken meat', 'cracked black pepper', 'kosher salt']","['high potassium', 'low carbohydrate', 'low sodium']","['high calories', 'low calcium', 'low magnesium']"
congenital hypotrichosis with juvenile macular dystrophy,"['corned beef slices', 'party rye bread', 'swiss cheese']","['cream cheese', 'mushroom']","['low cholesterol', 'low sodium', 'low total fats']","['low calcium', 'low potassium']"
Krukenberg carcinoma,"['garlic', 'salt', 'tomatoes']","['brown sauce', 'salt']","['high fiber', 'low calories', 'low cholesterol']","['high carbohydrate', 'low iron', 'low potassium']"
uterine ligament cancer,"['citron', 'eggs']","['fresh mushrooms', 'salt', 'shells']","['high vitamin c', 'low carbohydrate']","['high sodium', 'low calcium']"
formaldehyde allergic contact dermatitis,"['golden mushroom soup', 'mushrooms', 'water']","['clove garlic', 'salt', 'water']","['low carbohydrate', 'low sodium', 'low total fats']","['low magnesium', 'low vitamin c']"
toxic diffuse goiter,"['broccoli', 'eggs', 'salt']","['cream cheese', 'flour', 'margarine']","['high iron', 'low calories', 'low sodium']","['low calcium', 'low fiber']"
neurodegeneration with brain iron accumulation 2b,"['four-cheese', 'ground chuck']","['bell pepper', 'garlic salt', 'salt']","['high magnesium', 'high potassium', 'low calories']","['high sodium', 'low iron']"
lymphadenitis,"['black olives', 'paper', 'shredded monterey']","['onion', 'tomatoes']","['high magnesium', 'high protein', 'high vitamin c']","['low fiber', 'low iron']"
mesenchymoma,"['kidney beans', 'tomato sauce']","['chicken broth', 'onion']","['high iron', 'high magnesium', 'high protein']","['high calories', 'high carbohydrate', 'low potassium']"
bone ameloblastoma,"['chili powder', 'shredded cheese']","['fresh mushrooms', 'frozen artichoke', 'parmesan cheese']","['high iron', 'high vitamin c', 'low carbohydrate']","['high sodium', 'low magnesium', 'low potassium']"
neuronal ceroid lipofuscinosis 10,"['green peppers', 'white onions']","['butter', 'green peppers', 'milk']","['high magnesium', 'low sodium']","['low iron', 'low potassium', 'low vitamin c']"
Diamond-Blackfan anemia 5,"['salad dressing', 'sweet pickles']","['chicken', 'salt', 'veal scallops']","['high calcium', 'low sodium']","['high calories', 'high cholesterol', 'low potassium']"
mesocestoidiasis,"['garlic powder', 'sausage', 'worcestershire sauce']","['clove garlic', 'eggs', 'salt']","['high fiber', 'high vitamin c', 'low carbohydrate']","['high sodium', 'low iron']"
Charcot-Marie-Tooth disease type 2DD,"['ground beef', 'oatmeal']","['ground red pepper', 'onion']","['high magnesium', 'low sodium']","['low fiber', 'low protein', 'low vitamin c']"
stress-induced childhood-onset neurodegeneration with variable ataxia and seizures,"['carrots', 'lemon juice', 'mayonnaise']","['cider vinegar', 'salt', 'sesame oil']","['high iron', 'high protein', 'high vitamin c']","['low calcium', 'low fiber']"
SATB2-associated syndrome,"['garlic', 'onion', 'zucchini']","['egg', 'salmon', 'salt']","['high potassium', 'high protein', 'low sodium']","['high cholesterol', 'low vitamin c']"
breast neuroendocrine neoplasm,"['black pepper', 'ground beef', 'tomato sauce']","['butter', 'onion']","['low calories', 'low sodium']","['high cholesterol', 'low potassium']"
split hand-foot malformation 3,"['bread crumbs', 'cheese', 'elbow macaroni']","['mushrooms', 'red beans']","['high iron', 'high potassium']","['high carbohydrate', 'low calcium', 'low fiber']"
lung non-small cell carcinoma,"['cheddar cheese', 'ground beef', 'taco']","['cheddar cheese', 'jalapeno pepper', 'salt']","['high calcium', 'low sodium']","['high calories', 'high carbohydrate', 'low magnesium']"
"46,XX sex reversal 4","['mayonnaise', 'salt', 'worcestershire sauce']","['cream of chicken soup', 'sour cream', 'zucchini']","['high vitamin c', 'low total fats']","['high cholesterol', 'low protein']"
extracutaneous mastocytoma,"['chocolate wafers', 'cream cheese', 'egg whites']","['corn oil', 'shrimp']","['high potassium', 'low carbohydrate', 'low cholesterol']","['high sodium', 'low iron']"
apolipoprotein C-III deficiency,"['nuts', 'pistachio pudding']","['escort', 'onion', 'sour cream']","['high fiber', 'low total fats']","['high carbohydrate', 'high sodium']"
brain edema,"['lemons', 'sugar', 'tomatoes']","['butternut squash', 'pork sausage']","['high iron', 'low cholesterol']","['low calcium', 'low fiber', 'low protein']"
X-linked deafness 6,"['butter', 'green peppers', 'salt']","['cheddar cheese soup', 'ham', 'soft']","['low calories', 'low total fats']","['high carbohydrate', 'low iron', 'low potassium']"
familial temporal lobe epilepsy 5,"['onion', 'sugar']","['garlic', 'onion', 'salt']","['high fiber', 'low carbohydrate', 'low cholesterol']","['high calories', 'low calcium']"
